School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Gompers Preparatory Academy (San Diego Unified),San Diego,San Diego Unified,High School,1192,25.4,0.1,4.2,9.9,0.4,82.7,1.4,1,0.1,0.2,92.1,16.5,4,8.5,374,366
Gonzales High (Gonzales Unified),Monterey,Gonzales Unified,High School,741,29.3,0.3,0,0.5,0.8,95.7,0.1,0.3,0,2.3,73.4,20.4,6,4.8,403,412
Grace M. Davis High (Modesto City High),Stanislaus,Modesto City High,High School,1661,19.9,0.5,5.4,3.5,0.6,58.9,1.3,5.7,4,20.2,77.9,23.2,8,5.7,430,423
Granada High (Livermore Valley Joint Unified),Alameda,Livermore Valley Joint Unified,High School,2059,4.7,0.3,6.7,1.6,3.3,24.6,0.3,7.2,0.1,55.9,15.1,22.6,10,3.4,561,544
Granada Hills Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,4480,3.2,0.2,18.1,3.7,10.1,38.7,0.4,1.4,1.3,26.1,53,26.6,8,0.2,548,526
Grand Terrace High School at the Ray Abril Jr. Educational Complex (Colton Joint Unified),San Bernardino,Colton Joint Unified,High School,2491,10.1,0.7,2.9,8.7,2.2,69.1,0.8,1,0,14.6,66.5,23.9,10,4.9,455,448
Granite Bay High (Roseville Joint Union High),Placer,Roseville Joint Union High,High School,2043,0.9,0.2,10.8,1.4,2.6,10.7,0.3,6.2,0.4,67.4,8,23.5,14,3,587,555
Granite Hills High (Apple Valley Unified),San Bernardino,Apple Valley Unified,High School,1451,6.3,0.7,3.4,12.2,0.8,46.2,0.6,1.3,0.1,34.7,67.1,25.3,16,2.3,531,495
Granite Hills High (Grossmont Union High),San Diego,Grossmont Union High,High School,2345,5.5,0.9,1,2.6,0.9,31.8,0.3,6,0.2,56.2,57,21.9,12,13.2,463,469
Granite Hills High (Porterville Unified),Tulare,Porterville Unified,High School,1335,17.5,1.2,1.3,0.6,0.3,85.6,0.7,0.6,0.1,9.6,84.6,24.6,13,8.3,415,417
Grant Union High (Twin Rivers Unified),Sacramento,Twin Rivers Unified,High School,1916,21.6,0.5,17,20.7,0.8,48.3,3,2.6,1.1,6,79.5,22.1,12,10.4,399,392
Great Oak High (Temecula Valley Unified),Riverside,Temecula Valley Unified,High School,3473,1.2,1.8,5.6,3.6,5.8,27,0.4,9,0.2,46.6,13.4,25.6,10,2,532,516
Green Design at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,480,25.2,0,0,4.6,0,94.2,0,0,0,1.3,91,21.3,11,0,405,403
Greenfield High (South Monterey County Joint Union High),Monterey,South Monterey County Joint Union High,High School,1053,31.1,0,0.3,0.3,0.1,97,0,0.3,0,2.1,72.4,28.3,8,10.3,406,430
Greenville Junior/Senior High (Plumas Unified),Plumas,Plumas Unified,High School,85,N/A,25.9,2.4,0,0,15.3,0,4.7,0,51.8,52.9,8.8,11,4.3,0,0
Gridley High (Gridley Unified),Butte,Gridley Unified,High School,617,7.6,0.6,2.6,0.3,0.2,57.7,0.3,0.6,0.2,37.4,51.9,21.6,11,4.9,508,461
Grizzly ChalleNGe Charter (San Luis Obispo County Office of Education),San Luis Obispo,San Luis Obispo County Office of Education,High School,240,21.7,0.8,1.3,5,1.3,76.3,1.7,0,0,13.8,67.1,18.5,5,0,N/A,N/A
Grossmont High (Grossmont Union High),San Diego,Grossmont Union High,High School,2296,10.4,0.4,2.4,6.5,1.2,37.5,0.5,7.1,0,44.3,59.9,23.2,16,3.7,520,494
Grove (Redlands Unified),San Bernardino,Redlands Unified,High School,214,1.9,0.9,10.3,2.3,1.4,22.9,0,4.7,0,57.5,18.2,19.5,5,0,517,498
Grover Cleveland Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,3202,11.2,0.2,12.6,4.6,4.3,59.9,0.4,0.9,0,17.1,64.7,25.1,16,1.1,505,510
Guajome Park Academy Charter (Vista Unified),San Diego,Vista Unified,High School,1342,10.7,0.7,1,1.8,1.9,57.9,0.5,7,0,29.1,49,21,5,0.7,523,503
Gunderson High (San Jose Unified),Santa Clara,San Jose Unified,High School,1107,14,0.7,9.9,7.5,3.3,60.9,0,2.2,0.4,15.1,54.1,19.4,10,4.9,468,459
Gustine High (Gustine Unified),Merced,Gustine Unified,High School,598,16.2,0,1.3,0.7,1,74.7,0.3,0.2,0,21.7,70.4,22.1,10,4.1,445,437
Half Moon Bay High (Cabrillo Unified),San Mateo,Cabrillo Unified,High School,1020,16.4,0.3,2,0.7,1.8,45,0,2.8,0.1,47.4,34.8,24.3,7,6.7,544,529
Hamilton High (Hemet Unified),Riverside,Hemet Unified,High School,299,7.4,4.3,1,1.3,0,39.1,1.3,0.7,1.3,50.8,80.3,13.1,14,4,465,461
Hamilton High (Hamilton Unified),Glenn,Hamilton Unified,High School,314,10.5,0.6,1,0,0,72.6,0,1.9,3.8,20.1,68.5,19.4,7,8.8,398,357
Hanford High (Hanford Joint Union High),Kings,Hanford Joint Union High,High School,1480,10.5,0.5,0.3,5.7,0.2,62.8,0.2,0.4,0,29.9,62.4,24.2,12,3,462,450
Hanford West High (Hanford Joint Union High),Kings,Hanford Joint Union High,High School,1380,8.5,0.5,1.8,5.8,2.3,63.1,0.1,1.7,0,24.6,57,24.8,10,4.4,457,442
Happy Camp High (Siskiyou Union High),Siskiyou,Siskiyou Union High,High School,62,N/A,45.2,0,0,0,17.7,1.6,0,0,35.5,45.2,11.3,7,17.1,0,0
Harbor High (Santa Cruz City High),Santa Cruz,Santa Cruz City High,High School,954,14,0.5,2.8,1.4,1,53.6,0.6,2.3,0,37.7,53.2,21.7,11,2,532,507
Harbor Teacher Preparation Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,451,N/A,0,6.2,11.3,16.2,57,2.9,1.8,0.4,4.2,70.3,26.5,13,0,510,487
Harmony Magnet Academy (Porterville Unified),Tulare,Porterville Unified,High School,516,2.9,0.6,2.9,0.2,2.7,63.8,0.6,0.6,0.4,28.3,58.1,23.2,10,3,507,463
Hawthorne High (Centinela Valley Union High),Los Angeles,Centinela Valley Union High,High School,2187,17.7,0.1,0.6,13.1,0.9,80.3,0.4,2.7,0,1.9,80.6,20.7,9,4,406,419
Hawthorne Math and Science Academy (Hawthorne),Los Angeles,Hawthorne,High School,567,3.4,0,5.3,9.3,5.5,72.8,0.7,1.1,0.5,4.8,78.8,24.3,12,1.2,512,494
Hayfork High (Mountain Valley Unified),Trinity,Mountain Valley Unified,High School,84,4.8,7.1,14.3,0,0,14.3,0,11.9,0,52.4,85.7,10.5,8,5.3,0,0
Hayward High (Hayward Unified),Alameda,Hayward Unified,High School,1580,10.9,0.2,4.9,16.4,5,59.9,3.5,1.6,0.3,8.4,75.2,20.6,10,7.9,441,434
Healdsburg High (Healdsburg Unified),Sonoma,Healdsburg Unified,High School,616,13.8,0.6,2.1,0.6,0.2,55,0,0.8,0,40.6,39,19,9,2.8,496,488
Health Careers Academy (Stockton Unified),San Joaquin,Stockton Unified,High School,466,12.4,1.7,13.1,7.7,4.5,64.6,1.7,0.9,0,5.8,75.8,29,9,1.3,422,432
Health Sciences High (San Diego Unified),San Diego,San Diego Unified,High School,593,20.4,0.5,2.4,20.1,1.7,63.4,0.2,1,0,10.8,70.5,32.9,2,0,441,418
Hector G. Godinez (Santa Ana Unified),Orange,Santa Ana Unified,High School,2622,12.3,0.2,1.1,0.2,0.1,97.6,0,0,0,0.8,95.5,25,12,3.5,456,435
Helen Bernstein High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,579,40.6,0.5,2.6,4,3.3,84.6,0.2,0.2,0.3,4.3,82.9,17.4,13,1,401,384
Helix High (Grossmont Union High),San Diego,Grossmont Union High,High School,2475,7.8,0.2,4.7,17,1.9,47.5,0.9,8.7,0.1,19,60.8,26.1,12,3.8,507,472
Hemet High (Hemet Unified),Riverside,Hemet Unified,High School,2318,6.6,1,1.8,5.9,0.9,46.9,0.5,2.5,0,40.6,69,23.9,11,7.1,439,428
Henry High (San Diego Unified),San Diego,San Diego Unified,High School,2384,4.3,0.3,14.3,6.6,1,31.8,0.5,7.1,0.2,38.2,40.3,23.6,14,4.3,529,490
Henry J. Kaiser High (Fontana Unified),San Bernardino,Fontana Unified,High School,2335,15.2,0.1,1.5,7.8,1,84.4,0.3,0.5,0,4.3,80,21.4,12,3.7,426,421
Henry M. Gunn High (Palo Alto Unified),Santa Clara,Palo Alto Unified,High School,1939,4.4,0.1,44.5,1.3,0.7,8.9,0.2,6.5,0,37.8,5.9,18.1,9,0.6,680,652
Herbert Hoover High (Fresno Unified),Fresno,Fresno Unified,High School,1896,10,0.8,11.4,10,0.9,59.8,0.5,1.3,0.1,15.3,80.6,24.4,16,5.4,432,407
Herbert Hoover High (Glendale Unified),Los Angeles,Glendale Unified,High School,1640,16.2,0.2,6.2,1.9,8.1,26.3,0,1,0,56.2,65.4,21.5,14,9.1,538,506
Hercules High (West Contra Costa Unified),Contra Costa,West Contra Costa Unified,High School,980,8,0.1,18.7,26.7,25.7,19.4,0.7,1.4,0.2,7,42.2,26.8,12,6.4,434,434
Heritage High (Liberty Union High),Contra Costa,Liberty Union High,High School,2561,3.2,0.3,6.2,9.4,8.9,22.4,0.7,3.3,0,48.7,14.9,23.9,8,3.4,450,436
Heritage High (Perris Union High),Riverside,Perris Union High,High School,2735,12.9,0.7,1.3,6.3,2.3,64.2,0.7,3.9,0.2,20.4,69.8,26.3,7,6.6,507,500
Herlong High (Fort Sage Unified),Lassen,Fort Sage Unified,High School,66,N/A,4.5,1.5,6.1,0,7.6,0,0,0,80.3,62.1,12.4,7,16.9,N/A,N/A
Hesperia High (Hesperia Unified),San Bernardino,Hesperia Unified,High School,2045,18.4,0.4,1.1,8.4,0.4,71.9,0.3,0.5,1.7,15.3,79.6,27.2,8,11.3,442,442
High Tech High (San Diego Unified),San Diego,San Diego Unified,High School,583,3.6,1.4,6.5,8.6,4.3,43.2,0.7,1,0,34.3,40.8,19.8,6,2.4,527,513
High Tech High Chula Vista (SBC - High Tech High),San Diego,SBC - High Tech High,High School,639,6.9,0.8,2,3.6,7,76.8,0.5,1.1,0,8.1,50.7,20,3,4.1,460,452
High Tech High International (San Diego Unified),San Diego,San Diego Unified,High School,399,4.8,0.8,4.3,8.8,4,51.9,0.8,0.8,0,28.8,41.4,20.8,5,4.7,494,481
High Tech High Media Arts (San Diego Unified),San Diego,San Diego Unified,High School,400,5.3,0.5,4.3,9.3,5.5,49,0.8,2,0,28.8,52.5,22.1,3,1.5,479,475
High Tech High North County (SBC - High Tech High),San Diego,SBC - High Tech High,High School,484,1.9,1,7.2,3.7,3.3,28.9,0.4,1.7,0,53.7,30.4,18.6,3,1.2,483,499
High Tech LA (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,390,2.8,0.3,3.3,0.5,2.8,42.1,0,3.3,18.2,29.5,44.6,23.4,7,2,493,497
Highland High (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,2931,9,0.6,2.5,15.5,3,59.4,0.2,2.9,0.2,15.8,58.6,22.4,14,7,473,466
Highland High (Kern High),Kern,Kern High,High School,1962,9.2,1.1,2,5.8,1.5,68.3,0.2,1.2,0.6,19.4,63.6,25.4,12,7.2,471,459
Highlands High (Twin Rivers Unified),Sacramento,Twin Rivers Unified,High School,808,14.5,1.5,4.2,13.5,1.7,47.6,1.2,5,0.6,24.6,78.6,20.3,13,15.2,437,422
"Hilda L. Solis Learning Academy School of Technology, Business and Education (Los Angeles Unified)",Los Angeles,Los Angeles Unified,High School,342,21.1,0.9,0.3,0.6,0,95,0,0,0,3.2,89.2,19.5,10,2.2,398,385
Hillcrest High (Alvord Unified),Riverside,Alvord Unified,High School,1790,16.2,0.2,6.3,6.8,3.5,64.3,0.5,1.6,0,16.8,57.4,24.6,8,3.1,415,419
Hillsdale High (San Mateo Union High),San Mateo,San Mateo Union High,High School,1375,7.9,0.4,15.4,1.4,5.8,26,1.5,9.1,0,40.4,11.9,18.9,8,5.1,558,536
Hilltop Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2200,12.3,0.1,0.6,1.2,1.5,85.3,0.2,3.5,0,7.5,54.8,25.5,13,5,474,451
Hilmar High (Hilmar Unified),Merced,Hilmar Unified,High School,647,16.1,0.6,0.6,0.3,0.2,36.9,0,0.2,0.5,60.7,53,19.6,14,10.9,460,454
Hiram W. Johnson High (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,1543,23.1,0.7,29.2,14.1,1.1,43.6,1.6,1.9,0,7.9,87.8,21.1,10,11.4,430,389
Hollywood Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1479,9.3,0.1,3.2,11.1,2.5,69.7,0.3,0.7,0.2,12.2,82.9,21.3,17,0.1,448,441
Holtville High (Holtville Unified),Imperial,Holtville Unified,High School,528,24.8,0.2,0,0.4,0.2,82.6,0.2,2.1,0,14.4,61,24.2,9,3.6,441,438
Homestead High (Fremont Union High),Santa Clara,Fremont Union High,High School,2368,7.6,0.3,39.4,1.4,2.2,17,0.1,8.1,0,31.6,14.7,23.7,11,1.4,649,610
Hoopa Valley High (Klamath-Trinity Joint Unified),Humboldt,Klamath-Trinity Joint Unified,High School,252,N/A,83.7,0.4,0.4,0.4,3.6,0,2,0,9.5,73,14,9,11.1,443,407
Hoover High (San Diego Unified),San Diego,San Diego Unified,High School,2028,26.3,0.3,13.9,10,0.3,71.6,0.4,1.6,0.9,1.1,90.4,20.6,12,2.1,414,400
Hueneme High (Oxnard Union High),Ventura,Oxnard Union High,High School,2118,20.5,0.3,0.5,1.2,2.2,91.2,0.3,1.2,0,3.1,79.2,26.5,11,6.8,422,424
Hughson High (Hughson Unified),Stanislaus,Hughson Unified,High School,712,9.8,0.4,0.7,0.1,0.1,49.3,0,1.3,0,48,40,20.1,13,3.8,494,487
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,412,18,0.2,0,0.2,0,97.3,0,0,0.7,1.5,90,22.3,15,0.9,374,390
Humanities and Arts (HARTS) Academy of Los Angeles (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,438,4.8,0,0.5,20.5,3.2,61.2,4.1,2.5,0.2,7.8,84,19.9,14,0,387,419
Huntington Beach High (Huntington Beach Union High),Orange,Huntington Beach Union High,High School,2954,3.2,1.6,9.4,1.1,1.2,20.7,0.6,1.6,4.5,59.3,13.6,27.4,10,0.8,550,535
Huntington Park Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1701,19.3,0.1,0.2,1.2,0.1,97.4,0,0.1,0.4,0.5,87.7,20.7,10,0.2,397,389
Impact Academy of Arts & Technology (Hayward Unified),Alameda,Hayward Unified,High School,462,6.1,0.2,3,13.2,5.6,66.5,2.8,2.8,1.1,4.8,59.7,24.3,3,10.4,437,430
Imperial High (Imperial Unified),Imperial,Imperial Unified,High School,1172,6.4,0.3,1.5,1.7,0.9,79.6,0,0.4,0,15.6,44.9,24.3,12,1.2,489,476
Independence High (Kern High),Kern,Kern High,High School,2071,4.5,0.7,5.9,7.8,2.9,54.7,0.1,2.4,1.3,24.2,53.5,29.6,10,8.1,485,470
Independence High (East Side Union High),Santa Clara,East Side Union High,High School,2968,17.9,0.3,38.3,2.6,18.3,35.6,0.5,0.9,0,3.4,52.1,23.1,13,4,517,484
Inderkum High (Natomas Unified),Sacramento,Natomas Unified,High School,1882,6.9,0.5,15.9,24.1,8.3,24.2,2.7,6,4.8,13.5,48.5,24.3,7,9.9,478,454
Indian Springs High (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,1797,17.2,0.5,2.6,13.7,0.6,77.2,0.2,0.7,0.3,4.2,93,24.3,7,8.9,412,404
Indio High (Desert Sands Unified),Riverside,Desert Sands Unified,High School,1910,23.2,0.1,0.4,1.5,0.3,95,0,0,0.4,2.4,83.4,25.6,13,4.2,415,427
Ingenuity Charter (San Diego Unified),San Diego,San Diego Unified,High School,23,21.7,0,0,26.1,0,65.2,0,8.7,0,0,100,11.5,1,0,N/A,N/A
Inglewood High (Inglewood Unified),Los Angeles,Inglewood Unified,High School,1050,19,0.2,0.6,37.7,0.6,60.4,0.3,0.1,0.1,0.1,50.1,18.4,11,8.5,376,374
Insight @ Los Angeles (West Covina Unified),Los Angeles,West Covina Unified,High School,259,6.9,3.5,0.4,16.2,0.4,42.9,0.4,5.4,3.5,27.4,77.6,22.8,1,0,485,507
Insight School of California (Maricopa Unified),Kern,Maricopa Unified,High School,595,1.5,1.2,2.4,7.9,0.3,32.3,0.2,8.4,1.8,45.5,64.7,18.3,3,0,N/A,N/A
Inspire School of Arts and Sciences (Chico Unified),Butte,Chico Unified,High School,444,2,1.4,0.9,0.9,0.5,12.6,0,4.5,2.7,76.6,25.5,19.5,6,1.7,535,552
International Polytechnic High (Los Angeles County Office of Education),Los Angeles,Los Angeles County Office of Education,High School,558,1.8,0.2,9.3,3,9.7,61.6,0.2,3,0.2,12.7,26.7,27,11,0.2,518,508
International Studies Learning Center at Legacy High School Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,863,7.5,0,0.1,0.3,0.1,98.8,0,0.1,0,0.5,90.2,21.8,13,0.2,451,442
Irvine High (Irvine Unified),Orange,Irvine Unified,High School,2031,11.5,0.2,48.3,2.9,4.3,13.4,0.5,2.7,0.6,27,22.6,25.1,12,2.1,616,593
Irvington High (Fremont Unified),Alameda,Fremont Unified,High School,2253,6.6,0.4,64,1.8,5,10.9,0.7,1.6,0,15.5,16,24.4,10,1.6,641,601
James A. Garfield Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2525,12.1,0,0.2,0.6,0.2,98.5,0,0,0.2,0.4,88.2,22.7,17,0,426,416
James C. Enochs High (Modesto City High),Stanislaus,Modesto City High,High School,2407,2.4,0.5,5.9,3.8,3.9,39.3,1,5.7,2.9,36.9,43,25.9,6,2.3,512,491
James Lick High (East Side Union High),Santa Clara,East Side Union High,High School,1137,21.6,0.6,6.7,2.6,6.3,78.9,0.4,0.3,0,4.3,75.5,20,10,2.9,434,419
James Logan High (New Haven Unified),Alameda,New Haven Unified,High School,3793,13.8,0.2,22,7.8,22.2,34,3.2,4.6,0,6,41.2,24.4,14,3.2,518,488
James Monroe High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2342,21.7,0,1.3,2.8,3.5,87.8,0.4,0.2,0.2,3.8,84.4,20.9,16,1.1,415,422
Jefferson High (Jefferson Union High),San Mateo,Jefferson Union High,High School,1162,21.3,0.2,8.1,4.1,39.1,39.9,1.5,4.1,0,2.9,59,21.3,11,8.9,471,449
Jesse M. Bethel High (Vallejo City Unified),Solano,Vallejo City Unified,High School,1696,5.8,0.5,3.7,29.9,27.2,25.3,2.1,1.9,0.7,8.7,53.7,23.1,10,14.8,464,447
John A. Rowland High (Rowland Unified),Los Angeles,Rowland Unified,High School,2221,11.3,0,41.8,1.5,10.2,40.2,0.5,1.2,0.2,4.4,53.3,26.4,16,3.7,572,526
John C. Fremont Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2001,24,0.2,0,9.3,0,89.2,0,0.2,0,1,91.1,21,12,0.5,397,394
John C. Kimball High (Tracy Joint Unified),San Joaquin,Tracy Joint Unified,High School,1622,9.4,0.4,15,7.5,11.8,32.3,0.7,5.3,0,26.8,30.5,25.1,10,9.8,522,507
John F. Kennedy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2099,8.6,0.3,2.4,3,3.7,80.1,0.2,0.4,0.3,9.5,68.9,21.4,11,0.1,511,477
John F. Kennedy High (Anaheim Union High),Orange,Anaheim Union High,High School,2433,7.5,0.4,23.1,4,11.3,37.6,0.3,5,0,18.3,45.4,22.7,15,4.7,437,428
John F. Kennedy High (Fremont Unified),Alameda,Fremont Unified,High School,1401,13.3,0.4,23.4,5.1,10.6,33.2,1.4,1.9,0.1,23.9,43,28.7,14,2.8,543,514
John F. Kennedy High (West Contra Costa Unified),Contra Costa,West Contra Costa Unified,High School,858,32.6,0,5.5,25.3,1.7,63.6,0.9,0.7,0.1,2.1,80.7,20.5,8,18.7,492,473
John F. Kennedy High (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,2221,10.6,0.7,28.2,19.5,2.6,29,1.8,5.8,0,12.4,61.2,24.6,13,5.6,352,345
John H. Francis Polytechnic (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2876,14.4,0.1,1.7,1,2.5,91.6,0.2,0.2,0,2.6,88.9,20.4,15,0,436,416
John H. Glenn High (Norwalk-La Mirada Unified),Los Angeles,Norwalk-La Mirada Unified,High School,1450,15.2,0.1,1.4,1.2,2.3,90.9,0.7,0.8,0.2,2.4,81.2,21.8,13,5.9,381,371
John H. Pitman High (Turlock Unified),Stanislaus,Turlock Unified,High School,2185,13.9,0.6,8.2,2.5,1.3,49.7,0.8,1.3,0.5,35.1,52,23.8,11,5.4,489,482
John Henry High (West Contra Costa Unified),Contra Costa,West Contra Costa Unified,High School,125,37.6,0,0.8,2.4,0,94.4,0,0,0,2.4,82.4,31.3,1,3.2,N/A,N/A
John Marshall Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2340,10,0.3,13.4,1.5,10.2,59.2,0.4,0.7,0.6,13.7,71.9,24.3,20,0.4,500,489
John Muir Charter Schools (Nevada County Office of Education),Nevada,Nevada County Office of Education,High School,1428,19.7,1,0.8,18.1,0.4,55.7,0.6,4.1,6.2,13.3,96.1,17.3,5,0,N/A,N/A
John Muir High (Pasadena Unified),Los Angeles,Pasadena Unified,High School,902,12.3,0.1,0.3,25.6,0.9,70.7,0,0.4,0.2,1.7,76.4,15.9,8,10.7,431,409
John Swett High (John Swett Unified),Contra Costa,John Swett Unified,High School,565,9.6,0.2,12.2,17.3,11.5,31,0.9,8,0.2,18.8,55.6,19.9,9,12.6,499,475
John W. North High (Riverside Unified),Riverside,Riverside Unified,High School,2274,11.6,0.3,3.6,11.1,1,71.1,0.4,1.4,0.6,10.6,76.3,23.4,13,7.7,466,453
Jordan High (Long Beach Unified),Los Angeles,Long Beach Unified,High School,3195,22.6,0.3,3.8,18.5,1.4,70.9,2.9,0.4,0.4,1.4,78.8,22.5,15,6.2,404,394
Joseph A. Gregori High (Modesto City High),Stanislaus,Modesto City High,High School,2205,5.1,0.3,5.7,3.1,1.5,47.3,0.9,4.9,2.7,33.6,45.7,25,7,2.7,479,467
Juan Bautista de Anza (Borrego Springs Unified),San Diego,Borrego Springs Unified,High School,70,7.1,0,0,2.9,0,41.4,0,4.3,0,51.4,60,13.5,5,0,0,0
Julian High (Julian Union High),San Diego,Julian Union High,High School,157,7.6,11.5,0.6,0,0.6,26.8,0,3.8,0,56.7,51.6,16,12,7.9,0,0
Jurupa Hills High (Fontana Unified),San Bernardino,Fontana Unified,High School,2037,17.2,0.2,1.9,6.2,1,84.7,0.3,0.9,0,4.8,85.3,21.2,8,8.3,429,406
Jurupa Valley High (Jurupa Unified),Riverside,Jurupa Unified,High School,1616,27.5,0.1,0.9,1.7,0.1,88.2,0.1,0.4,0.1,8.3,70,23.8,17,3.6,417,416
Katella High (Anaheim Union High),Orange,Anaheim Union High,High School,2619,23.4,0.2,2.9,1,1.4,88.9,0.4,0.5,0,4.7,80.5,26.7,14,3.8,446,423
Kearny College Connections (San Diego Unified),San Diego,San Diego Unified,High School,401,13.5,0.2,19.5,10.7,4.2,47.1,1.2,5.7,0.2,11,68.3,22.3,11,1.2,489,451
Kearny Digital Media & Design (San Diego Unified),San Diego,San Diego Unified,High School,408,12.5,0,9.3,12.5,4.2,52,0.7,6.1,0.2,15,72.1,21.8,8,4.8,414,440
"Kearny Eng, Innov & Design (San Diego Unified)",San Diego,San Diego Unified,High School,320,15.3,0,10.9,10,3.8,58.8,0.6,4.1,0,11.9,74.7,20.8,9,7.1,428,398
Kearny SCT (San Diego Unified),San Diego,San Diego Unified,High School,346,11,0.6,19.7,15.6,7.5,38.4,0.3,6.9,0.6,10.4,72.8,22.1,10,6.1,512,460
Kelseyville High (Kelseyville Unified),Lake,Kelseyville Unified,High School,524,5.9,1.7,1.7,1.7,0.6,38.4,0.2,3.2,0.4,52.1,72.5,21.5,16,6,443,444
Kerman High (Kerman Unified),Fresno,Kerman Unified,High School,1395,15,0.4,5.2,0.6,0,83.1,0,0.3,0.2,10.3,84.6,24.4,8,5.2,455,432
Kern Valley High (Kern High),Kern,Kern High,High School,463,0.6,3.7,0.6,1.5,0.2,12.3,0,4.3,0,77.3,65.4,18,11,14.1,473,465
Kern Workforce 2000 Academy (Kern High),Kern,Kern High,High School,422,16.6,0.7,0.2,4.3,0,85.3,0,0.9,0.5,8.1,76.3,16.6,15,6.1,N/A,N/A
King City High (South Monterey County Joint Union High),Monterey,South Monterey County Joint Union High,High School,1018,20.7,0.8,0.5,0.2,0.3,85.9,0.2,3.5,0.5,8.2,72.5,25.2,10,4.3,430,423
King-Chavez Community High (San Diego Unified),San Diego,San Diego Unified,High School,571,30.5,0,0,1.6,0,97.7,0,0,0.7,0,99.6,19.6,3,6.8,394,370
Kingsburg High (Kingsburg Joint Union High),Fresno,Kingsburg Joint Union High,High School,1117,5.4,0.4,3.4,0.8,0.1,59,0,2.3,0.8,33.1,44.9,21.4,11,3.4,463,456
KIPP King Collegiate High (San Lorenzo Unified),Alameda,San Lorenzo Unified,High School,559,6.1,0.4,23.4,20.2,2.5,48.1,0.2,0,0,5.2,68.7,25.2,3,4.4,471,469
